Прізвище,Ім'я,Побатькові,Стать,Дата народження,Посада,Місто проживання,Адреса,Телефон,Email
Панчук,Дан,Ільїч,Чоловік,1951-04-25 00:00:00,Провізор,місто Данило,"провулок Ярема, 5, селище Костянтин, 47762",+38 978 039 74 71,klymentshvachka@gmail.com
Чередник,Ярослав,Дмитрович,Чоловік,1964-08-18 00:00:00,Електрик,село Павло,"бульвар Конопленко, 0, хутір Мартин, 61945",026 280-55-44,tetianaierchenko@email.ua
Артюх,Герман ,Вікторович,Чоловік,1975-05-18 00:00:00,Диригент,місто Микита,"Гаврилів узвіз, 96, місто Григорій, 84217",096 196-88-02,svitlanavasylashko@gmail.com
Олійник,Августин,Володимирович,Чоловік,2003-04-17 00:00:00,Сценарист,селище Геннадій,"вулиця Базилевич, 48, село Едуард, 05032",+38 (678) 552-37-54,vitalii41@sirchenko-petryk.ua
Деркач,Едуард,Володимирович,Чоловік,1963-10-18 00:00:00,Психолог,хутір Ярина,"Аврамчук узвіз, 293, село Валентин, 12699",+38 496 672-15-33,piddubnyiielysaveta@nosachenko.com
Андрусенко,Юстим,Дмитрович,Чоловік,1984-08-23 00:00:00,Письменник,хутір Яків,"Яремків узвіз, 1, селище Артем, 63617",552-01-93,rostyslav77@gov.ua
Сомко,Юстим,Максимович,Чоловік,1949-11-17 00:00:00,Підприємець,хутір Богодар,"набережна Абрамчук, 62, хутір Василь, 79432",+38 442 847-16-18,bhrytsenko@nesterenko.org
Харченко,Світлана,Георгіївна,Жінка,1968-01-08 00:00:00,Паблік рилейшнз,селище Азар,"Хоменко узвіз, 5, хутір Спас, 12666",+38 113 152 70 84,mamchurnataliia@shamrai.org
Піддубний,Демʼян,Іванович,Чоловік,1940-10-29 00:00:00,Антрополог,місто Герман ,"провулок Гайворонський, 839, село Вʼячеслав, 75505",074 120-20-80,konopliateodor@email.ua
Дубас,Роксолана,Ільївна,Жінка,1961-06-04 00:00:00,Кінорежисер,село Ілля,"набережна Андрієвич, 45, село Владислав, 66932",+38 140 717-16-73,matamaniuk@ukr.net
Шеремет,Ада,Георгіївна,Жінка,1988-10-04 00:00:00,Прокурор,хутір Богодар,"Ребрик узвіз, 208, місто Панас, 15653",057 418-95-73,atroshchenkoieva@shelest.укр
Демʼяненко,Соломія,Іванівна,Жінка,2000-06-04 00:00:00,Льотчик,місто Ада,"набережна Терещенко, 55, село Орхип, 95514",675-54-11,inazarenko@vakarchuk-perebyinis.com
Вернидуб,Амалія,Володимирівна,Жінка,1995-06-03 00:00:00,Машиніст,селище Максим,"провулок Макогон, 392, хутір Алла, 67007",375-67-68,hdubenko@email.ua
Жук,Іван,Вадимович,Чоловік,1999-02-25 00:00:00,Нотаріус,місто Панас,"майдан Абрагамовський, 69, селище Аркадій, 32666",421-45-34,aopanasenko@ovcharenko-atroshchenko.info
Пʼятаченко,Андрій,Сергійович,Чоловік,1958-12-20 00:00:00,Ботанік,хутір Алевтин,"вулиця Гайдабура, 66, село Спас, 89362",+38 592 249-54-13,ieshchenkosvitlana@email.ua
Данько,Віолетта,Михайлівна,Жінка,2006-06-11 00:00:00,Модель,селище Давид,"Бабій узвіз, 140, хутір Орина, 71265",+38 788 896-94-79,chekaliuknazar@gerus.net
Фоменко,Герман ,Володимирович,Чоловік,1977-07-21 00:00:00,Візажист,селище Петро,"майдан Бездітко, 348, місто Назар, 92787",+38 395 155 43 77,okanivetsʹ@gov.ua
Цибуленко,Златослава,Володимирівна,Жінка,1977-03-02 00:00:00,Краєзнавець,хутір Борислав,"Ґереґа узвіз, 3, хутір Герман , 86427",070 315 35 32,venedyktfastenko@ukr.net
Каденюк,Геннадій,Володимирович,Чоловік,1992-07-28 00:00:00,Мікробіолог,селище Валерій,"набережна Зінченко, 21, місто Анжела, 35411",+38 (352) 314-74-48,anastasiia15@zhuravelʹ.org
Рак,Іван,Іванович,Чоловік,1976-05-14 00:00:00,Модель,село Марія,"набережна Баштан, 43, село Пантелеймон, 01093",+38 993 269-64-08,marʼianahavryshkevych@meta.ua
Байрак,Степан,Назарович,Чоловік,1988-12-28 00:00:00,Доцент,місто Тимофій,"майдан Іващенко, 748, місто Леон, 01157",+38 546 422-87-40,rbarannyk@haidabura.com
Шахрай,Адам,Ільїч,Чоловік,1959-05-14 00:00:00,Перекладач,селище Златослава,"проспект Матвієнко, 370, місто Віктор, 16859",679 15 24,caleksandrenko@email.ua
Швачка,Анастасія,Дмитрівна,Жінка,1965-01-26 00:00:00,Підприємець,місто Едуард,"Аверченко узвіз, 389, місто Олесь, 09674",098 360 99 33,pieremenko@shamrai-vasylenko.net
Носаченко,Іван,Ільїч,Чоловік,2003-07-03 00:00:00,Детектив,село Леонід,"бульвар Сомко, 01, селище Юстина, 58172",045 520 54 17,anzheladeisun@babko-chumak.укр
Даценко,Аліна,Сергіївна,Жінка,1963-12-07 00:00:00,Кухар,селище Петро,"Іванченко узвіз, 10, село Тимофій, 46985",+38 549 495-63-47,nkarmaliuk@gov.ua
Міщенко,Спас,Вадимович,Чоловік,1941-11-23 00:00:00,Археолог,хутір Георгій,"бульвар Москаль, 2, хутір Олександр, 35968",+38 498 472-66-64,terezausyk@gmail.com
Даценко,Орися,Даниліївна,Жінка,1957-08-20 00:00:00,Ґрунтознавець,селище Єлисей,"набережна Чумак, 26, село Макар, 49781",+38 946 653-65-63,omelianhuk@tokar-lazarenko.укр
Чорновіл,Віктор,Анатолійович,Чоловік,1996-04-22 00:00:00,Вчитель,місто Мартин,"Заїка узвіз, 854, село Федір, 36918",+38 907 445 14 05,ieva46@zinchenko-shevchenko.ua
Гаврюшенко,Владислав,Ільїч,Чоловік,1966-06-11 00:00:00,Фольклорист,хутір Спас,"Чуйко узвіз, 5, хутір Еріка, 41977",+38 559 844-20-41,babʼiukvalerii@meta.ua
Асаула,Григорій,Юрійович,Чоловік,2004-10-29 00:00:00,Намотувальник,село Галина,"проспект Чуприна, 755, хутір Вікторія, 24344",993 38 72,rzubko@kabaliuk.ua
Кащенко,Мартин,Ільїч,Чоловік,1975-07-16 00:00:00,Круп'є,місто Дарина,"провулок Колісниченко, 4, село Ігор, 55917",021 445 77 50,boleslav15@bandurka.com
Яремків,Орхип,Іванович,Чоловік,1956-11-11 00:00:00,М'ясник,хутір Мирослав,"Масоха узвіз, 56, хутір Устим, 45927",+38 948 529-59-19,marʼiana28@gov.ua
Лесик,Станіслав,Олегович,Чоловік,1945-06-25 00:00:00,Мінералог,село Франц,"проспект Андрощук, 94, село Федір, 49549",+38 680 291-47-35,herman-vyshniak@voblyi.net
Скорик,Леонтій,Анатолійович,Чоловік,1968-05-03 00:00:00,Режисер,хутір Ігнат,"проспект Вишняк, 5, хутір Вікторія, 85143",+38 (287) 461-02-34,ihnat69@adamchuk-vyshniak.com
Хомик,Марта,Сергіївна,Жінка,1940-10-28 00:00:00,Намотувальник,місто Алевтин,"майдан Чарниш, 5, селище Яків, 25893",570 73 58,sviatoslava02@redʹko-khomyk.укр
Вітрук,Камілла,Назарівна,Жінка,1944-04-11 00:00:00,Професор,хутір Ярина,"Ґерета узвіз, 8, село Людмила, 24131",016 024-27-81,zorianshvachka@usyk-yevtushenko.com
Заєць,Ростислав,Данилович,Чоловік,1984-03-15 00:00:00,Кінорежисер,місто Соломія,"бульвар Данчук, 6, селище Роксолана, 44054",+38 958 042-19-59,erikashablii@chaban.org
Карпа,Станіслав,Григорович,Чоловік,1990-08-27 00:00:00,Ґрунтознавець,селище Мирослав,"Удовенко узвіз, 4, хутір Охрім, 81351",197 85 26,zynovii75@gmail.com
Михайличенко,Устим,Іванович,Чоловік,1955-09-05 00:00:00,Державний службовець,місто Демид,"Даценко узвіз, 17, село Камілла, 93915",+38 935 970-22-63,oturkalo@meta.ua
Івасюк,Франц,Олегович,Чоловік,1978-12-17 00:00:00,Астроном,хутір Лесь,"проспект Артим, 441, село Артем, 86023",783 34 66,ieresʹkodan@i.ua
Тесля,Леонід,Юрійович,Чоловік,1970-10-01 00:00:00,Клоун,хутір Тереза,"бульвар Даньків, 2, село Ігор, 12937",+38 177 722-99-20,kaleksandrenko@teslenko.ua
Їжакевич,Олег,Данилович,Чоловік,1948-10-30 00:00:00,Ветеринар,селище Людмила,"Оліфіренко узвіз, 53, село Григорій, 68334",007-58-74,ivankabanenko@deisun-batiuk.com
Шухевич,Анастасія,Вікторівна,Жінка,1977-06-03 00:00:00,Нотаріус,село Аврелій,"набережна Гайдамака, 1, селище Ярослава, 42712",+38 753 065-27-37,izhakdavyd@pustovit.com
Авраменко,Альберт,Олегович,Чоловік,1951-07-16 00:00:00,Бібліотекар,місто Соломон,"проспект Макогон, 674, хутір Олекса, 94714",+38 830 098-08-87,hlibartymovych@gmail.com
Канівець,Пріска,Анатоліївна,Жінка,1954-06-06 00:00:00,Математик,село Федір,"Шморгун узвіз, 628, хутір Федір, 107513",032 936-72-28,iatseniuknazar@meta.ua
Щербак,Мартин,Данилович,Чоловік,1976-12-16 00:00:00,Астрофізик,селище Костянтин,"Ковпак узвіз, 6, хутір Єва, 06683",061 239 57 45,mdavydenko@ukr.net
Цісик,Амвросій,Олександрович,Чоловік,1991-05-18 00:00:00,Пекар,село Святослав,"Філіпенко узвіз, 56, селище Остап, 29476",058 618 68 82,borys88@sliusar-havryshkevych.info
Бакуменко,Симон,Вікторович,Чоловік,1964-12-12 00:00:00,Бізнесмен,селище Ліза,"проспект Черненко, 5, місто Стефан, 09298",057 586 73 86,azar39@chumachenko.net
Чумаченко,Остап,Костянтинович,Чоловік,1949-04-04 00:00:00,Бізнесмен,село Назар,"Забіла узвіз, 9, село Георгій, 22082",+38 906 224-78-58,jirvanetsʹ@ukr.net
Забіла,Ігор,Вікторович,Чоловік,2001-06-15 00:00:00,Дипломат,село Онисим,"набережна Атаманюк, 5, село Лілія, 57343",+38 151 275-43-50,everkhovynetsʹ@gmail.com
Бабак,Віолетта,Володимирівна,Жінка,2001-05-06 00:00:00,Астроном,місто Олександр,"набережна Якимчук, 291, селище Дмитро, 35143",+38 398 063-41-85,mykyta66@gov.ua
Жученко,Онисим,Дмитрович,Чоловік,1988-07-09 00:00:00,Юрист,місто Орина,"бульвар Чумак, 914, місто Мирон, 86316",008 549 90 57,artymovychviktoriia@yemelʹianenko-shevchenko.org
Барабаш,Михайло,Максимович,Чоловік,1978-09-16 00:00:00,Модель,хутір Мирослав,"Хоменко узвіз, 120, село Богданна, 72416",456 89 06,halynazhuchenko@arkhymovych.org
Саченко,Давид,Артемович,Чоловік,1941-07-22 00:00:00,Сценарист,селище Валентин,"Юрчук узвіз, 55, хутір Тимофій, 101221",051 349-91-58,ohrytsenko@yefymenko-mykhailychenko.net
Макогон,Соломія,Григорівна,Жінка,1948-02-09 00:00:00,Менеджер,хутір Орися,"набережна Батіг, 3, хутір Федір, 92250",+38 696 933 93 55,tivanenko@gmail.com
Килимник,Охрім,Григорович,Чоловік,1985-03-25 00:00:00,Ді-джей,місто Левко,"провулок Алексюк, 48, селище Аніта, 41754",+38 493 404-18-52,kybkalotereza@gmail.com
Вовк,Камілла,Володимирівна,Жінка,1963-05-31 00:00:00,Фермер,хутір Варфоломій,"Дробаха узвіз, 8, селище Розалія, 55275",+38 590 182-86-99,hennadii95@meta.ua
Зарудний,Вікторія,Дмитрівна,Жінка,1972-08-21 00:00:00,Слідчий,хутір Віталій,"Барабаш узвіз, 982, селище Анжела, 12306",292 48 67,mvasylevych@meta.ua
Іванченко,Артем,Костянтинович,Чоловік,1975-03-20 00:00:00,Євнух,хутір Дарина,"проспект Ватаманюк, 181, місто Богданна, 27542",144 83 92,iustymchekaliuk@gmail.com
Дейнеко,Вікторія,Вадимівна,Жінка,1963-12-25 00:00:00,Намотувальник,село Тарас,"Ящук узвіз, 10, селище Прохір, 99829",+38 331 989 09 98,kyrylenkokostiantyn@samoilenko-bebeshko.org
Кириленко,Захар,Назарович,Чоловік,1988-10-06 00:00:00,Ґрунтознавець,селище Надія,"Сірко узвіз, 5, село Ярослав, 15972",069 925-88-14,andriievychtetiana@meta.ua
Штокало,Еріка,Костянтинівна,Жінка,1981-08-25 00:00:00,Режисер,село Богуслава,"Гаврилець узвіз, 95, село Олекса, 07511",+38 587 482 02 66,ydutka@gmail.com
Саченко,Азар,Олександрович,Чоловік,1992-05-11 00:00:00,Науковець,хутір Ігор,"Бакуменко узвіз, 8, місто Панас, 36062",+38 222 799-56-84,danchukerika@makohon.ua
Масоха,Віра,Вадимівна,Жінка,1993-06-26 00:00:00,Географ,село Леопольд,"Фартушняк узвіз, 130, селище Святослава, 67545",+38 488 571-98-37,lubenetsʹlesʹ@gov.ua
Гаврилів,Розалія,Іванівна,Жінка,1949-12-27 00:00:00,Фізик,місто Святослав,"Заїка узвіз, 3, хутір Юстим, 25829",035 561-90-96,lutsenkobohdanna@i.ua
Гаврилець,Пантелеймон,Григорович,Чоловік,1959-02-06 00:00:00,Фізик,селище Степан,"Вишиваний узвіз, 7, місто Станіслав, 28930",+38 518 552 58 07,vivcharenkoadam@piddubnyi.ua
Масоха,Франц,Олегович,Чоловік,1967-11-26 00:00:00,Кінорежисер,місто Камілла,"Аронець узвіз, 9, селище Захар, 94676",+38 184 158 82 97,izhakevychielysei@meta.ua
Гуцуляк,Світлана,Дмитрівна,Жінка,1985-05-28 00:00:00,Правник,місто Данило,"Дерегус узвіз, 062, селище Остап, 38718",+38 361 278-80-80,vʼiacheslav88@ukr.net
Рак,Феофан,Дмитрович,Чоловік,1993-05-20 00:00:00,Продюсер,місто Варфоломій,"бульвар Яремко, 78, хутір Владислав, 59173",+38 085 243-73-10,iosypvdovychenko@i.ua
Рябченко,Анжела,Назарівна,Жінка,1957-04-21 00:00:00,Правник,селище Ада,"Наливайко узвіз, 412, селище Болеслав, 09827",+38 615 238-88-42,shtokalovitalii@i.ua
Андрощук,Варфоломій,Максимович,Чоловік,2007-01-11 00:00:00,Гірничий інженер,хутір Ігнат,"проспект Атрощенко, 02, село Гордій, 66530",165-08-62,barannykalla@umanetsʹ.net
Ірванець,Едуард,Дмитрович,Чоловік,1967-08-06 00:00:00,Менеджер,селище Ростислав,"Охріменко узвіз, 114, селище Ігор, 33307",054 063 03 89,rdemʼianchuk@turkalo.ua
Ткаченко,Пріска,Назарівна,Жінка,1939-05-15 00:00:00,Різноробочий,селище Борис,"Андрійчук узвіз, 3, село Пилип, 84934",+38 695 194-08-91,khudiakirena@zakharenko.org
Вдовенко,Йосип,Костянтинович,Чоловік,2001-03-26 00:00:00,Громадський діяч,місто Єва,"Базилевський узвіз, 370, селище Єфрем, 24094",015 067-21-45,onysymskorobohatʹko@havriushenko.net
Рак,Вадим,Костянтинович,Чоловік,1995-05-04 00:00:00,Пілот,село Ірена,"бульвар Валенко, 336, селище Святослава, 84087",+38 114 481 09 99,romanchukihor@gmail.com
Артимович,Демид,Олегович,Чоловік,1959-09-14 00:00:00,Палеонтолог,селище Стефан,"проспект Піддубний, 668, село Пантелеймон, 109623",+38 670 134 58 27,olehsyrotenko@davymuka-andriiovych.ua
Жайворон,Антон,Дмитрович,Чоловік,1957-11-19 00:00:00,Письменник,село Тарас,"Євтушенко узвіз, 93, селище Йосип, 98114",+38 (665) 649-37-80,valeriivasylevych@rudyk.org
Воблий,Світлана,Дмитрівна,Жінка,1951-11-17 00:00:00,Золотар,місто Опанас,"вулиця Литвин, 51, хутір Мілена, 75609",+38 (132) 747-63-60,snizhanapalii@andriishyn.укр
Чубай,Максим,Вікторович,Чоловік,1993-01-29 00:00:00,Біолог,село Ярема,"провулок Нестеренко, 806, село Нестор, 36862",131 71 49,sviatoslava27@gov.ua
Ковпак,Руслан,Григорович,Чоловік,1959-09-20 00:00:00,ГеологГеофізикГицель,хутір Спас,"майдан Величко, 099, село Алла, 74185",049 440-14-48,goliashtaras@zaietsʹ.ua
Цюцюра,Одарка,Юріївна,Жінка,2003-01-03 00:00:00,Маркетолог,хутір Алевтин,"Данченко узвіз, 339, село Наталія, 51316",028 750 44 30,hannazakusylo@babych.ua
Бебешко,Віолетта,Дмитрівна,Жінка,1971-01-17 00:00:00,Дизайнер,селище Олена,"Примаченко узвіз, 4, село Юхим, 108320",+38 180 155 68 57,edyta67@artemenko.com
Мамчур,Світлана,Іванівна,Жінка,1983-11-14 00:00:00,Ботанік,село Данило,"Рубан узвіз, 3, селище Ольга, 23204",+38 (821) 276-50-03,ihnatatamanchuk@email.ua
Дейнека,Наталія,Сергіївна,Жінка,1951-02-21 00:00:00,Мінералог,хутір Степан,"Рак узвіз, 929, селище Святослава, 25169",+38 (045) 304-04-66,avdieienkosviatoslava@prymachenko.net
Назаренко,Еріка,Юріївна,Жінка,1986-09-18 00:00:00,Правник,хутір Юхим,"провулок Чумаченко, 2, село Левко, 38126",+38 (119) 318-94-88,eoberemko@meta.ua
Архипенко,Лукʼян,Сергійович,Чоловік,1939-02-03 00:00:00,Парфюмер,село Леонтій,"Медведенко узвіз, 89, селище Станіслав, 34613",031 397 90 85,valentynlukash@ilʹchenko.ua
Назаренко,Аркадій,Михайлович,Чоловік,1987-12-20 00:00:00,Дипломат,селище Юстина,"Вдовиченко узвіз, 9, хутір Борис, 38112",317 06 63,lskopenko@gov.ua
Голобородько,Емілія,Вікторівна,Жінка,1962-04-03 00:00:00,Випробувач,місто Златослава,"вулиця Верхола, 240, місто Гліб, 97350",571 92 71,sofiiadzhunʹ@ukr.net
Барабаш,Камілла,Ільївна,Жінка,1966-07-08 00:00:00,Ґрунтознавець,селище Валерій,"вулиця Голик, 759, селище Дарина, 101397",017 205 81 28,vasylenkokostiantyn@i.ua
Запорожець,Яків,Георгійович,Чоловік,2007-07-26 00:00:00,Кушнір,село Емілія,"Бабій узвіз, 35, селище Михайлина, 22996",182 33 74,leonid22@onyshchenko-shutʹko.com
Яценко,Ярема,Артемович,Чоловік,1953-03-29 00:00:00,Бібліотекар,місто Захар,"Притула узвіз, 554, село Альбіна, 77097",+38 845 992-67-09,kdanʹkiv@meta.ua
Данькевич,Ольга,Дмитрівна,Жінка,1976-02-06 00:00:00,Історик,село Валерій,"майдан Іваничук, 6, хутір Володимир, 24802",+38 336 899-50-63,prokopovycherika@onishchuk-okhrimenko.info
Дурдинець,Орина,Анатоліївна,Жінка,2001-11-26 00:00:00,Літературознавець,селище Тарас,"Чумаченко узвіз, 5, місто Юхим, 72001",+38 (647) 733-45-16,bazylevsʹkyimartyn@gmail.com
Ляшко,Оксенія,Вікторівна,Жінка,1999-07-25 00:00:00,Фрілансер,хутір Емілія,"Копитко узвіз, 135, селище Гаврило, 76557",+38 972 824-43-80,jsvystun@ukr.net
Єременко,Артем,Ільїч,Чоловік,1939-01-24 00:00:00,Золотар,хутір Анжела,"набережна Оліфіренко, 45, хутір Франц, 78588",+38 307 127-92-68,viktorshtokalo@gmail.com
Ткаченко,Борис,Вадимович,Чоловік,1943-04-29 00:00:00,Мовознавець,селище Мартин,"провулок Бевзенко, 768, місто Ростислав, 08617",084 51 91,erika63@demʼianenko.net
Приймак,Пилип,Григорович,Чоловік,2001-06-01 00:00:00,Громадський діяч,хутір Оксана,"вулиця Шутько, 66, хутір Анжела, 83133",801-79-11,oeibozhenko@arkhymovych.укр
Семенченко,Валентина,Костянтинівна,Жінка,1943-12-20 00:00:00,Режисер,місто Юстим,"бульвар Гузій, 092, хутір Ярослава, 67033",+38 986 710 87 08,vlasenkokostiantyn@i.ua
Вахній,Петро,Михайлович,Чоловік,2003-11-16 00:00:00,Штукатур,селище Данило,"проспект Байдак, 956, село Василина, 22037",001 479 14 39,rubetsʹvladyslav@gmail.com
Гуцуляк,Юстина,Георгіївна,Жінка,1961-08-15 00:00:00,Футболіст,село Яків,"провулок Демиденко, 249, село Онисим, 33542",574-74-10,ykozak@meta.ua
Приймак,Остап,Михайлович,Чоловік,1947-12-19 00:00:00,Модельєр,місто Лесь,"вулиця Килимник, 4, місто Наталія, 42009",099 877 85 55,orynakabaliuk@ukr.net
Ємець,Ліза,Петрівна,Жінка,2000-06-28 00:00:00,Етнограф,селище Анастасія,"Опанасенко узвіз, 374, хутір Яків, 35631",+38 188 138-55-99,havrylo34@i.ua
Баштан,Теодор,Григорович,Чоловік,2005-04-06 00:00:00,Будник,селище Аніта,"Рубець узвіз, 856, місто Аніта, 25481",+38 079 121-76-87,durdynetsʹoleh@gmail.com
Опанасенко,Пармен,Петрович,Чоловік,1989-12-21 00:00:00,Педагог,селище Онисим,"проспект Карпенко, 5, хутір Лесь, 85080",011 807 53 31,ralekseienko@syrotenko.укр
Копитко,Любов,Ільївна,Жінка,1969-02-28 00:00:00,Візажист,місто Петро,"набережна Гук, 25, село Азар, 99199",003 521-61-62,wdavydenko@arkhymovych.net
Твердохліб,Станіслав,Володимирович,Чоловік,1976-10-20 00:00:00,Складальник,місто Валерій,"Гунько узвіз, 98, хутір Данило, 39707",+38 297 964-60-30,eduplii@bevz-havryshkevych.com
Пустовіт,Василина,Сергіївна,Жінка,1985-11-27 00:00:00,Промисловець,хутір Павло,"проспект Чалий, 850, село Данило, 18987",603-94-43,bazavluchenkokhrystyna@i.ua
Бандура,Григорій,Олегович,Чоловік,1984-06-01 00:00:00,Штукатур,село Аарон,"набережна Ванченко, 65, хутір Венедикт, 98089",+38 493 809 09 84,zlatoslavaiashchenko@gov.ua
Онищенко,Мирослав,Іванович,Чоловік,1987-11-13 00:00:00,Мікробіолог,селище Віолетта,"Яценюк узвіз, 3, село Світлана, 109166",+38 (344) 244-78-09,hordiivermenych@ilʹienko-ostapchuk.ua
Сімашкевич,Олег,Костянтинович,Чоловік,1975-02-28 00:00:00,Мовознавець,місто Віктор,"вулиця Левченко, 90, місто Валентин, 98374",922-61-66,zynovii28@gmail.com
Червоненко,Розалія,Максимівна,Жінка,1944-09-01 00:00:00,Кіноактор,селище Христина,"провулок Жайворон, 71, місто Сніжана, 56484",+38 (806) 326-98-95,evlasenko@gmail.com
Терещук,Христина,Вадимівна,Жінка,2002-12-05 00:00:00,Промисловець,хутір Демʼян,"Цушко узвіз, 34, селище Устим, 74270",+38 (643) 774-76-39,danyloperepelytsia@vanchenko.укр
Демʼянчук,Костянтин,Юрійович,Чоловік,1969-05-27 00:00:00,Архітектор,селище Тетяна,"бульвар Дурдинець, 620, хутір Лілія, 37404",+38 150 247-40-15,bohodarbalaban@davydenko.com
Артеменко,Зиновій,Дмитрович,Чоловік,1955-06-12 00:00:00,Агроном,місто Христина,"вулиця Яремчук, 05, місто Сніжана, 77910",+38 772 939-21-10,petro67@chekaliuk-rebryk.net
Приймак,Валерій,Вікторович,Чоловік,1961-09-02 00:00:00,Кінорежисер,хутір Леон,"Мірошниченко узвіз, 08, селище Сергій, 88476",+38 058 109-85-52,roksolana08@laba-darahan.com
Адамчук,Болеслав,Анатолійович,Чоловік,1942-01-15 00:00:00,Локсмайстер,місто Демид,"провулок Сагаль, 733, село Марко, 109034",013 555-91-13,bshutʹko@gov.ua
Ільєнко,Аркадій,Петрович,Чоловік,1996-01-19 00:00:00,Психолог,село Демʼян,"провулок Баклан, 21, селище Варфоломій, 75667",+38 (641) 614-48-02,vasylyna20@ilʹienko-shelest.org
Самойленко,Галина,Вадимівна,Жінка,1948-04-11 00:00:00,Флорист,місто Олекса,"Франко узвіз, 18, місто Тимофій, 105138",+38 (222) 064-32-03,kamillazhurba@ukr.net
Гузій,Омелян,Георгійович,Чоловік,1973-03-04 00:00:00,Прокурор,селище Одарка,"набережна Ґереґа, 09, хутір Анастасія, 35170",167 58 86,antonoberemko@zinkevych.укр
Рубець,Галина,Георгіївна,Жінка,1961-05-23 00:00:00,Акушер,хутір Мілена,"набережна Сірченко, 210, хутір Богдан, 51034",068 909-72-08,cchaban@meta.ua
Онуфрієнко,Єва,Михайлівна,Жінка,1979-07-23 00:00:00,Кіноактор,місто Пріска,"Перебийніс узвіз, 90, хутір Соломія, 49989",+38 867 404 63 05,anzhelashevchenko@meta.ua
Єфименко,Святослав,Костянтинович,Чоловік,1957-06-20 00:00:00,Астронавт,селище Валентин,"Рева узвіз, 0, місто Марʼяна, 55181",064 457 49 00,ostap55@alekseienko.org
Єресько,Роксолана,Дмитрівна,Жінка,1946-03-29 00:00:00,Електромонтер,хутір Тарас,"майдан Орлик, 2, хутір Аарон, 109411",640-16-23,hsheremeta@tverdokhlib-kabaliuk.info
Бараник,Христина,Олександрівна,Жінка,1961-08-20 00:00:00,Конструктор,хутір Христина,"Асаула узвіз, 8, селище Роксолана, 38446",+38 (685) 937-39-19,volodymyr83@email.ua
Данчук,Павло,Дмитрович,Чоловік,1956-07-12 00:00:00,Секретар,село Олександр,"набережна Безбородько, 5, селище Ліза, 33178",+38 564 917 28 57,vladyslavbaranyk@riaboshapka.ua
Дубенко,Ганна,Ільївна,Жінка,1994-08-29 00:00:00,Режисер,місто Петро,"Артеменко узвіз, 92, село Нестор, 94900",+38 884 530 04 29,xbabii@yeroshenko-shcherbanʹ.ua
Саченко,Маруся,Вікторівна,Жінка,1946-04-06 00:00:00,Гірничий інженер,селище Юстим,"Лесик узвіз, 435, село Ірена, 17044",899 69 01,lazarenkohalyna@hupalo.com
Василечко,Ольга,Артемівна,Жінка,1952-12-23 00:00:00,Історик,село Вʼячеслав,"Михайлюк узвіз, 03, хутір Оксенія, 32508",775 04 55,alina67@yermolenko.com
Дробʼязко,Єлисей,Дмитрович,Чоловік,1948-10-21 00:00:00,Різноробочий,село Прохір,"провулок Фартушняк, 8, хутір Ольга, 47735",+38 781 165-32-02,rostyslav17@i.ua
Гречко,Болеслав,Анатолійович,Чоловік,2006-10-14 00:00:00,Археолог,хутір Устим,"провулок Дашкевич, 19, місто Орися, 92882",+38 047 080-82-67,liliia18@email.ua
Ґерус,Охрім,Анатолійович,Чоловік,1973-07-15 00:00:00,Етнограф,хутір Орися,"бульвар Гоголь, 00, село Яків, 71943",+38 (481) 742-13-76,ghaidabura@gov.ua
Колесниченко,Розалія,Григорівна,Жінка,1941-02-18 00:00:00,Сантехнік,хутір Віолетта,"проспект Іванченко, 4, селище Борислав, 61371",+38 858 697-28-36,bohdannazabashta@meta.ua
Юрчук,Михайлина,Вікторівна,Жінка,1963-06-09 00:00:00,Актор,селище Анастасія,"вулиця Засядько, 813, село Юхим, 97844",+38 (845) 958-57-34,dashkevychnadiia@malyshko.ua
Архипенко,Анастасія,Вадимівна,Жінка,2008-06-15 00:00:00,Гірник,селище Левко,"Москаль узвіз, 903, місто Данна, 81374",+38 937 093 60 88,unesterenko@chaika.ua
Івасюк,Одарка,Дмитрівна,Жінка,1940-08-06 00:00:00,Мовознавець,село Мартин,"набережна Канівець, 1, місто Віталій, 11031",+38 085 904-55-61,paliidanylo@karpa.com
Цибуленко,Олена,Дмитрівна,Жінка,1978-03-10 00:00:00,Лікар,село Златослава,"бульвар Чайка, 6, село Мирослав, 74273",350 06 37,panteleimon77@havriushenko.info
Ярема,Марʼяна,Ільївна,Жінка,2008-12-29 00:00:00,Каскадер,місто Зорян,"Артеменко узвіз, 4, селище Данна, 101924",098 978-78-22,qshakhrai@arkhymovych-babak.com
Уманець,Анастасія,Олегівна,Жінка,1962-09-07 00:00:00,Випробувач,селище Одарка,"Стус узвіз, 51, село Степан, 82601",+38 528 468 86 29,anton49@korolenko.org
Петлюра,Ольга,Максимівна,Жінка,1945-02-18 00:00:00,Випробувач,хутір Пріска,"Лемешко узвіз, 30, село Георгій, 44535",+38 (853) 909-17-78,korzhpetro@i.ua
Балабан,Йосип,Олександрович,Чоловік,1976-06-07 00:00:00,Патологоанатом,село Йосип,"набережна Євдокименко, 252, місто Пантелеймон, 55156",+38 829 822-88-54,onufriienkomyron@email.ua
Бабич,Орина,Іванівна,Жінка,1938-05-03 00:00:00,Графік,місто Богодар,"вулиця Якимчук, 6, місто Болеслав, 06338",065 713 21 19,xderehus@poltavetsʹ.net
